                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.5801,                  2.443,                 1.9899,                0.23277,                0.40059,                0.23638,                0.12917,                 1.6874,                 2.6892,                 2.2852,             0.00087636,             0.00087636,             0.00087636
                     34,                 1.5782,                 2.4518,                 2.0059,                0.16807,                0.27289,                0.15312,                0.09144,                 1.7594,                 2.8038,                  2.358,             0.00086902,             0.00086902,             0.00086902
                     35,                   1.56,                 2.4258,                  1.986,                0.22274,                0.31128,                0.18209,                 0.0897,                 1.7381,                 2.8102,                 2.3236,             0.00086169,             0.00086169,             0.00086169
                     36,                 1.5574,                 2.4275,                  1.999,                0.30038,                0.28337,                0.23227,                0.13731,                 1.7333,                 2.7577,                 2.3446,             0.00085436,             0.00085436,             0.00085436
                     37,                 1.5323,                 2.3644,                 1.9687,                0.25159,                0.38131,                0.20575,                0.12929,                 1.6842,                 2.7973,                 2.2533,             0.00084703,             0.00084703,             0.00084703
                     38,                 1.5384,                  2.345,                 1.9493,                0.29157,                 0.2785,                0.23865,                0.14196,                  1.714,                 2.8277,                 2.2899,             0.00083969,             0.00083969,             0.00083969
                     39,                  1.514,                 2.3239,                 1.9347,                0.31448,                0.32611,                0.25518,                0.14824,                 1.6836,                 2.6126,                 2.2604,             0.00083236,             0.00083236,             0.00083236
                     40,                 1.4963,                 2.2877,                 1.9192,                0.39826,                0.32811,                0.29084,                0.17123,                 1.6533,                 2.4826,                 2.2296,             0.00082503,             0.00082503,             0.00082503
                     41,                 1.4927,                  2.296,                 1.9269,                0.21492,                0.37271,                0.18416,                0.11539,                 1.7148,                  2.775,                 2.3212,              0.0008177,              0.0008177,              0.0008177
                     42,                 1.4825,                 2.2408,                 1.8918,                0.42657,                0.37406,                 0.2949,                0.16715,                 1.6001,                 2.5316,                 2.1752,             0.00081036,             0.00081036,             0.00081036
                     43,                 1.4591,                 2.1956,                 1.8902,                0.36751,                0.37657,                 0.3101,                0.20573,                 1.5744,                 2.4667,                 2.1332,             0.00080303,             0.00080303,             0.00080303
                     44,                 1.4543,                    2.2,                 1.8834,                0.54108,                0.33241,                0.30822,                0.18585,                 1.5732,                 2.4297,                 2.1407,              0.0007957,              0.0007957,              0.0007957
                     45,                 1.4574,                 2.2037,                 1.8726,                0.54656,                0.28729,                0.30493,                0.18441,                 1.6216,                 2.5898,                 2.2112,             0.00078837,             0.00078837,             0.00078837
                     46,                 1.4633,                 2.2157,                 1.8721,                0.35712,                0.36237,                0.31193,                0.17498,                 1.6555,                 2.4712,                 2.1969,             0.00078103,             0.00078103,             0.00078103
                     47,                 1.4258,                 2.1314,                 1.8618,                0.32076,                0.32967,                0.27308,                0.17331,                 1.6249,                  2.601,                 2.1708,              0.0007737,              0.0007737,              0.0007737
                     48,                 1.4161,                  2.143,                 1.8401,                0.31239,                0.35337,                0.27894,                0.14858,                 1.6842,                 2.5201,                 2.2037,             0.00076637,             0.00076637,             0.00076637
                     49,                 1.4104,                 2.1033,                 1.8486,                0.43347,                0.32606,                0.34106,                0.20497,                 1.5971,                 2.4375,                 2.1524,             0.00075904,             0.00075904,             0.00075904
                     50,                 1.4107,                 2.1154,                 1.8219,                0.42745,                0.31383,                0.30969,                0.19873,                 1.6135,                 2.4234,                 2.1804,              0.0007517,              0.0007517,              0.0007517
                     51,                 1.3734,                 2.0696,                 1.7972,                0.29697,                0.39485,                0.25351,                0.14549,                 1.6082,                 2.4922,                 2.1526,             0.00074437,             0.00074437,             0.00074437
                     52,                 1.3555,                  2.043,                  1.792,                0.28473,                0.44189,                0.27645,                0.17139,                 1.6151,                 2.3979,                  2.157,             0.00073704,             0.00073704,             0.00073704
                     53,                 1.3395,                 2.0184,                 1.7607,                0.52862,                0.31444,                0.34025,                0.22266,                 1.5413,                 2.3985,                  2.113,              0.0007297,              0.0007297,              0.0007297
                     54,                 1.3674,                 2.0316,                 1.7786,                0.33026,                0.34617,                0.28981,                0.17349,                 1.6438,                 2.3513,                 2.1861,             0.00072237,             0.00072237,             0.00072237
                     55,                  1.333,                 2.0221,                 1.7549,                0.53094,                0.39902,                0.37919,                0.24496,                  1.545,                 2.3023,                 2.1105,             0.00071504,             0.00071504,             0.00071504
